placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-05 07:00:00,2025-04-05 07:05:00,20
fukui-station-east-entrance,Person,2025-04-05 07:05:00,2025-04-05 07:10:00,5
fukui-station-east-entrance,Person,2025-04-05 07:10:00,2025-04-05 07:15:00,2
fukui-station-east-entrance,Person,2025-04-05 07:15:00,2025-04-05 07:20:00,16
fukui-station-east-entrance,Person,2025-04-05 07:20:00,2025-04-05 07:25:00,20
fukui-station-east-entrance,Person,2025-04-05 07:25:00,2025-04-05 07:30:00,7
fukui-station-east-entrance,Person,2025-04-05 07:30:00,2025-04-05 07:35:00,16
fukui-station-east-entrance,Person,2025-04-05 07:35:00,2025-04-05 07:40:00,17
fukui-station-east-entrance,Person,2025-04-05 07:40:00,2025-04-05 07:45:00,21
fukui-station-east-entrance,Person,2025-04-05 07:45:00,2025-04-05 07:50:00,20
fukui-station-east-entrance,Person,2025-04-05 07:50:00,2025-04-05 07:55:00,16
fukui-station-east-entrance,Person,2025-04-05 07:55:00,2025-04-05 08:00:00,21
