placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-04 11:00:00,2025-03-04 11:05:00,46
fukui-station-east-entrance,Person,2025-03-04 11:05:00,2025-03-04 11:10:00,28
fukui-station-east-entrance,Person,2025-03-04 11:10:00,2025-03-04 11:15:00,45
fukui-station-east-entrance,Person,2025-03-04 11:15:00,2025-03-04 11:20:00,41
fukui-station-east-entrance,Person,2025-03-04 11:20:00,2025-03-04 11:25:00,27
fukui-station-east-entrance,Person,2025-03-04 11:25:00,2025-03-04 11:30:00,20
fukui-station-east-entrance,Person,2025-03-04 11:30:00,2025-03-04 11:35:00,26
fukui-station-east-entrance,Person,2025-03-04 11:35:00,2025-03-04 11:40:00,34
fukui-station-east-entrance,Person,2025-03-04 11:40:00,2025-03-04 11:45:00,67
fukui-station-east-entrance,Person,2025-03-04 11:45:00,2025-03-04 11:50:00,42
fukui-station-east-entrance,Person,2025-03-04 11:50:00,2025-03-04 11:55:00,35
fukui-station-east-entrance,Person,2025-03-04 11:55:00,2025-03-04 12:00:00,42
