placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-25 14:00:00,2025-03-25 14:05:00,56
fukui-station-east-entrance,Person,2025-03-25 14:05:00,2025-03-25 14:10:00,63
fukui-station-east-entrance,Person,2025-03-25 14:10:00,2025-03-25 14:15:00,73
fukui-station-east-entrance,Person,2025-03-25 14:15:00,2025-03-25 14:20:00,58
fukui-station-east-entrance,Person,2025-03-25 14:20:00,2025-03-25 14:25:00,52
fukui-station-east-entrance,Person,2025-03-25 14:25:00,2025-03-25 14:30:00,37
fukui-station-east-entrance,Person,2025-03-25 14:30:00,2025-03-25 14:35:00,71
fukui-station-east-entrance,Person,2025-03-25 14:35:00,2025-03-25 14:40:00,55
fukui-station-east-entrance,Person,2025-03-25 14:40:00,2025-03-25 14:45:00,56
fukui-station-east-entrance,Person,2025-03-25 14:45:00,2025-03-25 14:50:00,49
fukui-station-east-entrance,Person,2025-03-25 14:50:00,2025-03-25 14:55:00,66
fukui-station-east-entrance,Person,2025-03-25 14:55:00,2025-03-25 15:00:00,58
