placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-26 07:00:00,2025-04-26 07:05:00,9
fukui-station-east-entrance,Person,2025-04-26 07:05:00,2025-04-26 07:10:00,23
fukui-station-east-entrance,Person,2025-04-26 07:10:00,2025-04-26 07:15:00,6
fukui-station-east-entrance,Person,2025-04-26 07:15:00,2025-04-26 07:20:00,1
fukui-station-east-entrance,Person,2025-04-26 07:20:00,2025-04-26 07:25:00,8
fukui-station-east-entrance,Person,2025-04-26 07:25:00,2025-04-26 07:30:00,8
fukui-station-east-entrance,Person,2025-04-26 07:30:00,2025-04-26 07:35:00,11
fukui-station-east-entrance,Person,2025-04-26 07:35:00,2025-04-26 07:40:00,16
fukui-station-east-entrance,Person,2025-04-26 07:40:00,2025-04-26 07:45:00,18
fukui-station-east-entrance,Person,2025-04-26 07:45:00,2025-04-26 07:50:00,18
fukui-station-east-entrance,Person,2025-04-26 07:50:00,2025-04-26 07:55:00,20
fukui-station-east-entrance,Person,2025-04-26 07:55:00,2025-04-26 08:00:00,12
