placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-26 21:00:00,2025-04-26 21:05:00,14
fukui-station-east-entrance,Person,2025-04-26 21:05:00,2025-04-26 21:10:00,20
fukui-station-east-entrance,Person,2025-04-26 21:10:00,2025-04-26 21:15:00,9
fukui-station-east-entrance,Person,2025-04-26 21:15:00,2025-04-26 21:20:00,16
fukui-station-east-entrance,Person,2025-04-26 21:20:00,2025-04-26 21:25:00,33
fukui-station-east-entrance,Person,2025-04-26 21:25:00,2025-04-26 21:30:00,9
fukui-station-east-entrance,Person,2025-04-26 21:30:00,2025-04-26 21:35:00,5
fukui-station-east-entrance,Person,2025-04-26 21:35:00,2025-04-26 21:40:00,10
fukui-station-east-entrance,Person,2025-04-26 21:40:00,2025-04-26 21:45:00,26
fukui-station-east-entrance,Person,2025-04-26 21:45:00,2025-04-26 21:50:00,11
fukui-station-east-entrance,Person,2025-04-26 21:50:00,2025-04-26 21:55:00,20
fukui-station-east-entrance,Person,2025-04-26 21:55:00,2025-04-26 22:00:00,30
